Section 8: Prejudice — GameSpy ATLAS stat keyid -> name (from S9Game.u ColumnMappings/ColumnIds)
Id (keyid) is what appears in the SC SubmitReport blob and OnlineStats. '_Date' companion = FILETIME.

### S9Game.u  ViewId=1  columns=988
       1  0x0001  Kills
       2  0x0002  Deaths
       3  0x0003  Level
       4  0x0004  xp
       5  0x0005  Destruction
       6  0x0006  KillsIAL
       7  0x0007  CapturesIAL
       8  0x0008  TimePlayed
       9  0x0009  XPIAL
      10  0x000a  ScoreTeamworkIAL
      11  0x000b  ScoreCombatIAL
      12  0x000c  DamageIAL
      13  0x000d  RepairIAL
      14  0x000e  AssistIAL
      15  0x000f  DefenseIAL
      16  0x0010  DestructionIAL
     101  0x0065  Kills_Date
     102  0x0066  Deaths_Date
     103  0x0067  Level_Date
     104  0x0068  XP_Date
     105  0x0069  Destruction_Date
     106  0x006a  KillsIAL_Date
     107  0x006b  CapturesIAL_Date
     108  0x006c  TimePlayed_Date
     109  0x006d  XPIAL_Date
     110  0x006e  ScoreTeamworkIAL_Date
     111  0x006f  ScoreCombatIAL_Date
     112  0x0070  DamageIAL_Date
     113  0x0071  RepairIAL_Date
     114  0x0072  AssistIAL_Date
     115  0x0073  DefenseIAL_Date
     116  0x0074  DestructionIAL_Date
      17  0x0011  TimePlayed_GM0
      18  0x0012  TimePlayed_GM1
      19  0x0013  TimePlayed_GM2
      20  0x0014  TimePlayed_GM3
      21  0x0015  TimePlayed_GM4
     117  0x0075  TimePlayed_Date_GM0
     118  0x0076  TimePlayed_Date_GM1
     119  0x0077  TimePlayed_Date_GM2
     120  0x0078  TimePlayed_Date_GM3
     121  0x0079  TimePlayed_Date_GM4
     500  0x01f4  Kills_G0
     501  0x01f5  TimePlayed_G0
     502  0x01f6  Destruction_G0
     503  0x01f7  KillsIAL_G0
     504  0x01f8  DamageIAL_G0
     505  0x01f9  DestructionIAL_G0
     506  0x01fa  Kills_Date_G0
     507  0x01fb  TimePlayed_Date_G0
     508  0x01fc  KillsIAL_Date_G0
     509  0x01fd  DamageIAL_Date_G0
     510  0x01fe  DestructionIAL_Date_G0
     511  0x01ff  Destruction_Date_G0
     512  0x0200  Kills_G1
     513  0x0201  TimePlayed_G1
     514  0x0202  Destruction_G1
     515  0x0203  KillsIAL_G1
     516  0x0204  DamageIAL_G1
     517  0x0205  DestructionIAL_G1
     518  0x0206  Kills_Date_G1
     519  0x0207  TimePlayed_Date_G1
     520  0x0208  KillsIAL_Date_G1
     521  0x0209  DamageIAL_Date_G1
     522  0x020a  DestructionIAL_Date_G1
     523  0x020b  Destruction_Date_G1
     524  0x020c  Kills_G2
     525  0x020d  TimePlayed_G2
     526  0x020e  Destruction_G2
     527  0x020f  KillsIAL_G2
     528  0x0210  DamageIAL_G2
     529  0x0211  DestructionIAL_G2
     530  0x0212  Kills_Date_G2
     531  0x0213  TimePlayed_Date_G2
     532  0x0214  KillsIAL_Date_G2
     533  0x0215  DamageIAL_Date_G2
     534  0x0216  DestructionIAL_Date_G2
     535  0x0217  Destruction_Date_G2
     536  0x0218  Kills_G3
     537  0x0219  TimePlayed_G3
     538  0x021a  Destruction_G3
     539  0x021b  KillsIAL_G3
     540  0x021c  DamageIAL_G3
     541  0x021d  DestructionIAL_G3
     542  0x021e  Kills_Date_G3
     543  0x021f  TimePlayed_Date_G3
     544  0x0220  KillsIAL_Date_G3
     545  0x0221  DamageIAL_Date_G3
     546  0x0222  DestructionIAL_Date_G3
     547  0x0223  Destruction_Date_G3
     548  0x0224  Kills_G4
     549  0x0225  TimePlayed_G4
     550  0x0226  Destruction_G4
     551  0x0227  KillsIAL_G4
     552  0x0228  DamageIAL_G4
     553  0x0229  DestructionIAL_G4
     554  0x022a  Kills_Date_G4
     555  0x022b  TimePlayed_Date_G4
     556  0x022c  KillsIAL_Date_G4
     557  0x022d  DamageIAL_Date_G4
     558  0x022e  DestructionIAL_Date_G4
     559  0x022f  Destruction_Date_G4
     560  0x0230  Kills_G5
     561  0x0231  TimePlayed_G5
     562  0x0232  Destruction_G5
     563  0x0233  KillsIAL_G5
     564  0x0234  DamageIAL_G5
     565  0x0235  DestructionIAL_G5
     566  0x0236  Kills_Date_G5
     567  0x0237  TimePlayed_Date_G5
     568  0x0238  KillsIAL_Date_G5
     569  0x0239  DamageIAL_Date_G5
     570  0x023a  DestructionIAL_Date_G5
     571  0x023b  Destruction_Date_G5
     572  0x023c  Kills_G6
     573  0x023d  TimePlayed_G6
     574  0x023e  Destruction_G6
     575  0x023f  KillsIAL_G6
     576  0x0240  DamageIAL_G6
     577  0x0241  DestructionIAL_G6
     578  0x0242  Kills_Date_G6
     579  0x0243  TimePlayed_Date_G6
     580  0x0244  KillsIAL_Date_G6
     581  0x0245  DamageIAL_Date_G6
     582  0x0246  DestructionIAL_Date_G6
     583  0x0247  Destruction_Date_G6
     584  0x0248  Kills_G7
     585  0x0249  TimePlayed_G7
     586  0x024a  Destruction_G7
     587  0x024b  KillsIAL_G7
